City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,malmberget,67.1753,20.6549,-36.69,68,95,0.0,SE,1704327037
1,carutapera,-1.195,-46.02,24.96,94,99,2.75,BR,1704327037
2,waitangi,-43.9535,-176.5597,15.1,87,16,6.05,NZ,1704327038
3,yellowknife,62.456,-114.3525,-28.1,86,75,4.12,CA,1704326746
4,albany,42.6001,-73.9662,2.36,78,100,1.55,US,1704326812
5,mbeya,-8.9,33.45,15.9,98,100,1.18,TZ,1704327039
6,hanceville,34.0607,-86.7675,5.09,89,100,0.79,US,1704327040
7,slave lake,55.2834,-114.769,-9.01,86,100,5.66,CA,1704326873
8,edinburgh of the seven seas,-37.0676,-12.3116,16.84,89,88,2.91,SH,1704327041
9,blackmans bay,-43.0167,147.3167,16.52,72,75,0.45,AU,1704327041
10,kodiak,57.79,-152.4072,1.73,100,20,2.57,US,1704327043
11,port-aux-francais,-49.35,70.2167,4.45,68,57,14.64,TF,1704327043
12,bokhan,53.153,103.7714,-16.91,99,97,1.59,RU,1704327044
13,saldanha,-33.0117,17.9442,19.06,81,43,2.64,ZA,1704327044
14,adamstown,-25.066,-130.1015,24.4,79,95,3.27,PN,1704326754
15,lebu,-37.6167,-73.65,14.74,87,34,7.58,CL,1704327045
16,ta`u,-14.2336,-169.5144,28.17,74,80,4.8,AS,1704327046
17,nkhata bay,-11.6066,34.2907,24.07,82,100,2.41,MW,1704327047
18,hawaiian paradise park,19.5933,-154.9731,25.02,77,100,5.66,US,1704327047
19,tolanaro,-25.0319,46.9987,22.31,89,86,2.13,MG,1704327047
20,talnakh,69.4865,88.3972,-24.89,93,100,5.49,RU,1704327048
21,touros,-5.1989,-35.4608,27.18,77,7,4.89,BR,1704327049
22,aasiaat,68.7098,-52.8699,-13.13,83,91,5.64,GL,1704327050
23,ushuaia,-54.8,-68.3,9.96,97,100,2.7,AR,1704326992
24,mbandaka,0.0487,18.2603,24.94,74,95,1.2,CD,1704327051
25,bilibino,68.0546,166.4372,-32.07,99,84,0.23,RU,1704327051
26,saynshand,44.8824,110.1163,-8.49,73,10,10.44,MN,1704327052
27,bathsheba,13.2167,-59.5167,27.34,83,40,7.72,BB,1704327053
28,guerrero negro,27.9769,-114.0611,17.73,61,0,10.72,MX,1704327053
29,enewetak,11.3474,162.3373,27.0,75,45,10.04,MH,1704327054
30,jamestown,42.097,-79.2353,0.31,98,100,3.6,US,1704326931
31,puerto el triunfo,13.2833,-88.55,26.01,70,22,1.96,SV,1704327055
32,orhei,47.3831,28.8231,7.91,72,97,2.66,MD,1704327055
33,sabha,27.0377,14.4283,12.51,48,0,4.59,LY,1704327056
34,sakakah,29.9697,40.2064,9.76,63,1,1.88,SA,1704327056
35,iqaluit,63.7506,-68.5145,-18.81,83,82,4.1,CA,1704327057
36,san luis,-33.295,-66.3356,26.65,38,33,7.43,AR,1704327057
37,vadso,70.0744,29.7487,-9.91,92,100,8.23,NO,1704327058
38,popondetta,-8.7537,148.2534,32.19,58,100,1.49,PG,1704327058
39,longyearbyen,78.2186,15.6401,-15.09,72,75,6.17,SJ,1704327059
40,san francisco,37.7749,-122.4194,14.62,74,75,10.29,US,1704326892
41,sampit,-2.5333,112.95,25.15,95,100,0.41,ID,1704326943
42,whitehorse,60.7161,-135.0538,-11.57,84,100,1.79,CA,1704326901
43,gafargaon,24.4333,90.5667,15.46,71,0,1.8,BD,1704327061
44,ribeira grande,38.5167,-28.7,15.99,86,69,1.79,PT,1704327061
45,ulsteinvik,62.3432,5.8487,-1.93,56,79,3.13,NO,1704327062
46,lisala,2.15,21.5167,23.41,53,57,0.15,CD,1704327063
47,invercargill,-46.4,168.35,18.9,73,100,4.92,NZ,1704326989
48,bethel,41.3712,-73.414,3.63,71,100,2.06,US,1704327064
49,arraial do cabo,-22.9661,-42.0278,24.04,92,100,7.36,BR,1704327014
50,villamontes,-21.25,-63.5,22.97,90,9,1.86,BO,1704327065
51,griffith,41.5284,-87.4237,2.16,85,100,5.14,US,1704327058
52,zhosaly,45.4878,64.0781,0.06,51,91,4.88,KZ,1704327066
53,paita,-5.0892,-81.1144,22.63,80,97,6.29,PE,1704327067
54,grytviken,-54.2811,-36.5092,3.14,72,98,0.81,GS,1704327067
55,pionerskiy,54.9508,20.2275,-3.25,94,100,10.01,RU,1704327068
56,isafjordur,66.0755,-23.124,0.66,89,100,3.39,IS,1704327068
57,machico,32.7,-16.7667,20.4,88,20,1.03,PT,1704327069
58,pasighat,28.0667,95.3333,13.8,49,45,1.12,IN,1704327069
59,taoudenni,22.6783,-3.9836,19.23,21,90,4.82,ML,1704327070
60,chibougamau,49.9168,-74.3659,-14.21,85,100,2.06,CA,1704327070
61,margate,51.3813,1.3862,9.27,82,74,2.24,GB,1704326907
62,ust-nera,64.5667,143.2,-41.08,98,94,1.89,RU,1704327071
63,vytegra,61.0064,36.4481,-30.91,99,7,1.34,RU,1704327072
64,namdrik,5.5994,168.1028,28.19,81,100,8.83,MH,1704327072
65,udachny,66.4167,112.4,-32.77,96,100,1.54,RU,1704327073
66,khandyga,62.6667,135.6,-33.74,100,96,0.78,RU,1704327073
67,tura,25.5198,90.2201,12.83,78,0,1.64,IN,1704327074
68,chadan,51.2833,91.5833,-14.05,93,100,0.09,RU,1704327074
69,xining,36.6167,101.7667,-5.49,31,18,0.45,CN,1704327075
70,kaiapoi,-43.3783,172.6401,26.42,59,80,2.57,NZ,1704327076
71,sharlyk,52.9167,54.75,0.29,95,100,7.29,RU,1704327076
72,vila franca do campo,37.7167,-25.4333,18.27,99,95,4.32,PT,1704327077
73,keflavik,64.0049,-22.5624,4.24,70,0,5.66,IS,1704327078
74,buka,40.8108,69.1986,5.1,47,35,0.65,UZ,1704327079
75,daru,-9.0763,143.2092,29.38,76,100,1.02,PG,1704327081
76,papatowai,-46.5619,169.4708,18.62,54,100,3.48,NZ,1704327084
77,warrnambool,-38.3833,142.4833,17.62,68,100,7.17,AU,1704327085
78,alta sierra,35.7291,-118.5495,1.73,88,43,3.36,US,1704327086
79,ashland,40.8167,-82.2665,1.7,96,98,3.54,US,1704327087
80,eldridge,41.6581,-90.5846,1.58,85,100,3.6,US,1704327087
81,chonchi,-42.6128,-73.8092,18.56,73,33,0.26,CL,1704327088
82,rawson,-43.3002,-65.1023,23.73,46,100,5.06,AR,1704327047
83,wolmaransstad,-27.1974,25.9831,20.14,46,43,2.61,ZA,1704327089
84,punta arenas,-53.15,-70.9167,13.95,76,99,5.73,CL,1704326940
85,constantia,44.1833,28.65,7.38,84,75,6.54,RO,1704327072
86,ilulissat,69.2167,-51.1,-2.99,43,20,9.26,GL,1704327091
87,vallenar,-28.5708,-70.7581,22.88,51,0,2.36,CL,1704327092
88,kununurra,-15.7667,128.7333,29.99,74,100,2.57,AU,1704326936
89,kirakira,-10.4544,161.9205,29.25,79,86,2.47,SB,1704327093
90,ad dawadimi,24.5077,44.3924,10.64,83,5,4.21,SA,1704327093
91,kapuskasing,49.4169,-82.4331,-13.7,81,100,3.39,CA,1704327094
92,gudauta,43.1055,40.6207,9.74,71,100,4.99,GE,1704327094
93,petropavlovsk-kamchatsky,53.0452,158.6483,-15.67,72,0,5.0,RU,1704327094
94,port mathurin,-19.6833,63.4167,27.86,81,83,4.96,MU,1704327095
95,bairnsdale,-37.8333,147.6167,22.25,87,100,2.24,AU,1704327096
96,sinabang,2.4803,96.3801,26.14,83,100,1.17,ID,1704327096
97,holualoa,19.6228,-155.9522,24.91,69,0,3.6,US,1704326816
98,badger,64.8,-147.5333,-23.07,70,40,4.12,US,1704327097
99,pearsall,28.8922,-99.095,12.66,66,12,3.77,US,1704327097
100,saipan,15.1355,145.701,29.39,74,0,6.17,MP,1704327098
